datetime,num,daily_accumulated_biogas_production (mL/d),daily_biogas (m3/d),daily_biogas_outlier_removed (m3/d),tCOD (kg/m3),sCOD (kg/m3),IN (kmolN/m3),pH
16/12/2022,232,7142.125,0.007142125,0.007142125,,,,
17/12/2022,233,8404.687,0.008404687,0.008404687,,,,
18/12/2022,234,8326.25,0.00832625,0.00832625,,,,
19/12/2022,235,7756.25,0.00775625,0.00775625,,,,
20/12/2022,236,6279.25,0.00627925,0.00627925,,,,
21/12/2022,237,,,,,,,
22/12/2022,238,,,,,,,
23/12/2022,239,,,,,,,
24/12/2022,240,,,,,,,
25/12/2022,241,,,,,,,
26/12/2022,242,,,,,,,
27/12/2022,243,,,,,,,
28/12/2022,244,,,,,,,
29/12/2022,245,,,,,,,
30/12/2022,246,,,,,,,
31/12/2022,247,,,,,,,
01/01/2023,248,,,,,,,
02/01/2023,249,,,,,,,
03/01/2023,250,,,,,,,
04/01/2023,251,,,,,,,
05/01/2023,252,,,,,,,
06/01/2023,253,,,,,,,
07/01/2023,254,,,,,,,
08/01/2023,255,,,,,,,
09/01/2023,256,,,,,,,
10/01/2023,257,,,,,,,
11/01/2023,258,4094.875,0.004094875,0.004094875,,,,
12/01/2023,259,6138.375,0.006138375,0.006138375,,,,
13/01/2023,260,7722.875,0.007722875,0.007722875,,,,
14/01/2023,261,8877.25,0.00887725,0.00887725,,,,
15/01/2023,262,8190.875,0.008190875,0.008190875,,,,
16/01/2023,263,7946.5,0.0079465,0.0079465,,,,
17/01/2023,264,7831.5,0.0078315,0.0078315,,,,
18/01/2023,265,8157.875,0.008157875,0.008157875,,,,
19/01/2023,266,8121,0.008121,0.008121,,,,
20/01/2023,267,8226.125,0.008226125,0.008226125,,,,
21/01/2023,268,,,,,,,
22/01/2023,269,,,,,,,
23/01/2023,270,,,,,,,
24/01/2023,271,,,,,,,
25/01/2023,272,,,,,,,
26/01/2023,273,,,,,,,
27/01/2023,274,8915.5,0.0089155,0.0089155,,,,
28/01/2023,275,9350,0.00935,0.00935,,,0.177,
29/01/2023,276,9956.875,0.009956875,0.009956875,,,,
30/01/2023,277,7843.625,0.007843625,0.007843625,,,,
31/01/2023,278,8204,0.008204,0.008204,,,,
01/02/2023,279,4061.25,0.00406125,0.00406125,,,,
02/02/2023,280,8597.5,0.0085975,0.0085975,,,,
03/02/2023,281,9308.875,0.009308875,0.009308875,,,,
04/02/2023,282,8463.75,0.00846375,0.00846375,,,,
05/02/2023,283,7662.125,0.007662125,0.007662125,,,,
06/02/2023,284,7853.875,0.007853875,0.007853875,,,,
07/02/2023,285,3931.75,0.00393175,0.00393175,,,,
08/02/2023,286,2216.75,0.00221675,,,,,
09/02/2023,287,1463.75,0.00146375,,,,0.185,
10/02/2023,288,3951.125,0.003951125,0.003951125,,,,
11/02/2023,289,5868,0.005868,0.005868,,,,
12/02/2023,290,6564,0.006564,0.006564,,,,
13/02/2023,291,7848,0.007848,0.007848,48.74,3.49267,0.196,
14/02/2023,292,8032.25,0.00803225,0.00803225,,,,
15/02/2023,293,10863.75,0.01086375,0.01086375,,,,
16/02/2023,294,9452.75,0.00945275,0.00945275,,,,
17/02/2023,295,6762.125,0.006762125,0.006762125,49.91333,4.08267,0.192,
18/02/2023,296,9181.625,0.009181625,0.009181625,,,,
19/02/2023,297,9247.375,0.009247375,0.009247375,,,,
20/02/2023,298,7478.125,0.007478125,0.007478125,,,,
21/02/2023,299,8330.25,0.00833025,0.00833025,54.29333,4.258,0.183,7.76
22/02/2023,300,8189.75,0.00818975,0.00818975,,,,
23/02/2023,301,9070.75,0.00907075,0.00907075,,,,
24/02/2023,302,10148.5,0.0101485,0.0101485,,,,
25/02/2023,303,11388.125,0.011388125,0.011388125,52.72667,4.57467,0.175,7.7
26/02/2023,304,10011.375,0.010011375,0.010011375,,,,
27/02/2023,305,4932.625,0.004932625,0.004932625,,,,
28/02/2023,306,2822,0.002822,,,,,
01/03/2023,307,6716.625,0.006716625,0.006716625,52.665,4.108,0.174,7.88
02/03/2023,308,7346.125,0.007346125,0.007346125,,,,
03/03/2023,309,9732,0.009732,0.009732,,,,
04/03/2023,310,10247.375,0.010247375,0.010247375,,,,
05/03/2023,311,9081.75,0.00908175,0.00908175,49.595,5.2585,0.183,7.84
06/03/2023,312,8003.375,0.008003375,0.008003375,,,,
,,,,,,,,
,,,0.008024195,,51.32222167,,,7.795
,,,0.001892646,,,,,
